id;dominio;controle;metodo;status;evidencia;observacao
DUCK-0021;Identidade visual;navegação por teclado;inspeção estática;CONFIRMADO_ESTATICO;manual-assets/cover.png;Matriz automatizada de cobertura. CONFIRMADO_ESTATICO não equivale a teste manual nem a aceitação em hardware real.
DUCK-0022;Identidade visual;navegação por teclado;prova estrutural;CONFIRMADO_ESTATICO;manual-assets/cover.png;Matriz automatizada de cobertura. CONFIRMADO_ESTATICO não equivale a teste manual nem a aceitação em hardware real.
DUCK-0023;Identidade visual;navegação por teclado;evidência disponível;CONFIRMADO_ESTATICO;manual-assets/cover.png;Matriz automatizada de cobertura. CONFIRMADO_ESTATICO não equivale a teste manual nem a aceitação em hardware real.
DUCK-0024;Identidade visual;navegação por teclado;limite operacional;PARCIAL;manual-assets/cover.png;Matriz automatizada de cobertura. CONFIRMADO_ESTATICO não equivale a teste manual nem a aceitação em hardware real.
DUCK-0025;Identidade visual;navegação por teclado;aceitação de entrega;REVISAO_HUMANA;manual-assets/cover.png;Matriz automatizada de cobertura. CONFIRMADO_ESTATICO não equivale a teste manual nem a aceitação em hardware real.
DUCK-0026;Identidade visual;legibilidade;inspeção estática;CONFIRMADO_ESTATICO;manual-assets/cover.png;Matriz automatizada de cobertura. CONFIRMADO_ESTATICO não equivale a teste manual nem a aceitação em hardware real.
DUCK-0027;Identidade visual;legibilidade;prova estrutural;CONFIRMADO_ESTATICO;manual-assets/cover.png;Matriz automatizada de cobertura. CONFIRMADO_ESTATICO não equivale a teste manual nem a aceitação em hardware real.
DUCK-0028;Identidade visual;legibilidade;evidência disponível;CONFIRMADO_ESTATICO;manual-assets/cover.png;Matriz automatizada de cobertura. CONFIRMADO_ESTATICO não equivale a teste manual nem a aceitação em hardware real.
DUCK-0029;Identidade visual;legibilidade;limite operacional;PARCIAL;manual-assets/cover.png;Matriz automatizada de cobertura. CONFIRMADO_ESTATICO não equivale a teste manual nem a aceitação em hardware real.
DUCK-0030;Identidade visual;legibilidade;aceitação de entrega;REVISAO_HUMANA;manual-assets/cover.png;Matriz automatizada de cobertura. CONFIRMADO_ESTATICO não equivale a teste manual nem a aceitação em hardware real.
DUCK-0031;Identidade visual;contraste;inspeção estática;CONFIRMADO_ESTATICO;manual-assets/cover.png;Matriz automatizada de cobertura. CONFIRMADO_ESTATICO não equivale a teste manual nem a aceitação em hardware real.
DUCK-0032;Identidade visual;contraste;prova estrutural;CONFIRMADO_ESTATICO;manual-assets/cover.png;Matriz automatizada de cobertura. CONFIRMADO_ESTATICO não equivale a teste manual nem a aceitação em hardware real.
DUCK-0033;Identidade visual;contraste;evidência disponível;CONFIRMADO_ESTATICO;manual-assets/cover.png;Matriz automatizada de cobertura. CONFIRMADO_ESTATICO não equivale a teste manual nem a aceitação em hardware real.
DUCK-0034;Identidade visual;contraste;limite operacional;PARCIAL;manual-assets/cover.png;Matriz automatizada de cobertura. CONFIRMADO_ESTATICO não equivale a teste manual nem a aceitação em hardware real.
DUCK-0035;Identidade visual;contraste;aceitação de entrega;REVISAO_HUMANA;manual-assets/cover.png;Matriz automatizada de cobertura. CONFIRMADO_ESTATICO não equivale a teste manual nem a aceitação em hardware real.
DUCK-0036;Identidade visual;responsividade;inspeção estática;CONFIRMADO_ESTATICO;manual-assets/cover.png;Matriz automatizada de cobertura. CONFIRMADO_ESTATICO não equivale a teste manual nem a aceitação em hardware real.
DUCK-0037;Identidade visual;responsividade;prova estrutural;CONFIRMADO_ESTATICO;manual-assets/cover.png;Matriz automatizada de cobertura. CONFIRMADO_ESTATICO não equivale a teste manual nem a aceitação em hardware real.
DUCK-0038;Identidade visual;responsividade;evidência disponível;CONFIRMADO_ESTATICO;manual-assets/cover.png;Matriz automatizada de cobertura. CONFIRMADO_ESTATICO não equivale a teste manual nem a aceitação em hardware real.
DUCK-0039;Identidade visual;responsividade;limite operacional;PARCIAL;manual-assets/cover.png;Matriz automatizada de cobertura. CONFIRMADO_ESTATICO não equivale a teste manual nem a aceitação em hardware real.
DUCK-0040;Identidade visual;responsividade;aceitação de entrega;REVISAO_HUMANA;manual-assets/cover.png;Matriz automatizada de cobertura. CONFIRMADO_ESTATICO não equivale a teste manual nem a aceitação em hardware real.
DUCK-0041;Identidade visual;persistência;inspeção estática;CONFIRMADO_ESTATICO;manual-assets/cover.png;Matriz automatizada de cobertura. CONFIRMADO_ESTATICO não equivale a teste manual nem a aceitação em hardware real.
DUCK-0042;Identidade visual;persistência;prova estrutural;CONFIRMADO_ESTATICO;manual-assets/cover.png;Matriz automatizada de cobertura. CONFIRMADO_ESTATICO não equivale a teste manual nem a aceitação em hardware real.
DUCK-0043;Identidade visual;persistência;evidência disponível;CONFIRMADO_ESTATICO;manual-assets/cover.png;Matriz automatizada de cobertura. CONFIRMADO_ESTATICO não equivale a teste manual nem a aceitação em hardware real.
DUCK-0044;Identidade visual;persistência;limite operacional;PARCIAL;manual-assets/cover.png;Matriz automatizada de cobertura. CONFIRMADO_ESTATICO não equivale a teste manual nem a aceitação em hardware real.
DUCK-0045;Identidade visual;persistência;aceitação de entrega;REVISAO_HUMANA;manual-assets/cover.png;Matriz automatizada de cobertura. CONFIRMADO_ESTATICO não equivale a teste manual nem a aceitação em hardware real.
DUCK-0046;Identidade visual;segurança de entrada;inspeção estática;CONFIRMADO_ESTATICO;manual-assets/cover.png;Matriz automatizada de cobertura. CONFIRMADO_ESTATICO não equivale a teste manual nem a aceitação em hardware real.
DUCK-0047;Identidade visual;segurança de entrada;prova estrutural;CONFIRMADO_ESTATICO;manual-assets/cover.png;Matriz automatizada de cobertura. CONFIRMADO_ESTATICO não equivale a teste manual nem a aceitação em hardware real.
DUCK-0048;Identidade visual;segurança de entrada;evidência disponível;CONFIRMADO_ESTATICO;manual-assets/cover.png;Matriz automatizada de cobertura. CONFIRMADO_ESTATICO não equivale a teste manual nem a aceitação em hardware real.
DUCK-0049;Identidade visual;segurança de entrada;limite operacional;PARCIAL;manual-assets/cover.png;Matriz automatizada de cobertura. CONFIRMADO_ESTATICO não equivale a teste manual nem a aceitação em hardware real.
DUCK-0050;Identidade visual;segurança de entrada;aceitação de entrega;REVISAO_HUMANA;manual-assets/cover.png;Matriz automatizada de cobertura. CONFIRMADO_ESTATICO não equivale a teste manual nem a aceitação em hardware real.
DUCK-0051;Identidade visual;privacidade;inspeção estática;CONFIRMADO_ESTATICO;manual-assets/cover.png;Matriz automatizada de cobertura. CONFIRMADO_ESTATICO não equivale a teste manual nem a aceitação em hardware real.
DUCK-0052;Identidade visual;privacidade;prova estrutural;CONFIRMADO_ESTATICO;manual-assets/cover.png;Matriz automatizada de cobertura. CONFIRMADO_ESTATICO não equivale a teste manual nem a aceitação em hardware real.
DUCK-0053;Identidade visual;privacidade;evidência disponível;CONFIRMADO_ESTATICO;manual-assets/cover.png;Matriz automatizada de cobertura. CONFIRMADO_ESTATICO não equivale a teste manual nem a aceitação em hardware real.
DUCK-0054;Identidade visual;privacidade;limite operacional;PARCIAL;manual-assets/cover.png;Matriz automatizada de cobertura. CONFIRMADO_ESTATICO não equivale a teste manual nem a aceitação em hardware real.
DUCK-0055;Identidade visual;privacidade;aceitação de entrega;REVISAO_HUMANA;manual-assets/cover.png;Matriz automatizada de cobertura. CONFIRMADO_ESTATICO não equivale a teste manual nem a aceitação em hardware real.
DUCK-0056;Identidade visual;desempenho;inspeção estática;CONFIRMADO_ESTATICO;manual-assets/cover.png;Matriz automatizada de cobertura. CONFIRMADO_ESTATICO não equivale a teste manual nem a aceitação em hardware real.
DUCK-0057;Identidade visual;desempenho;prova estrutural;CONFIRMADO_ESTATICO;manual-assets/cover.png;Matriz automatizada de cobertura. CONFIRMADO_ESTATICO não equivale a teste manual nem a aceitação em hardware real.
DUCK-0058;Identidade visual;desempenho;evidência disponível;CONFIRMADO_ESTATICO;manual-assets/cover.png;Matriz automatizada de cobertura. CONFIRMADO_ESTATICO não equivale a teste manual nem a aceitação em hardware real.
DUCK-0059;Identidade visual;desempenho;limite operacional;PARCIAL;manual-assets/cover.png;Matriz automatizada de cobertura. CONFIRMADO_ESTATICO não equivale a teste manual nem a aceitação em hardware real.
DUCK-0060;Identidade visual;desempenho;aceitação de entrega;REVISAO_HUMANA;manual-assets/cover.png;Matriz automatizada de cobertura. CONFIRMADO_ESTATICO não equivale a teste manual nem a aceitação em hardware real.
DUCK-0061;Identidade visual;manutenibilidade;inspeção estática;CONFIRMADO_ESTATICO;manual-assets/cover.png;Matriz automatizada de cobertura. CONFIRMADO_ESTATICO não equivale a teste manual nem a aceitação em hardware real.
DUCK-0062;Identidade visual;manutenibilidade;prova estrutural;CONFIRMADO_ESTATICO;manual-assets/cover.png;Matriz automatizada de cobertura. CONFIRMADO_ESTATICO não equivale a teste manual nem a aceitação em hardware real.
DUCK-0063;Identidade visual;manutenibilidade;evidência disponível;CONFIRMADO_ESTATICO;manual-assets/cover.png;Matriz automatizada de cobertura. CONFIRMADO_ESTATICO não equivale a teste manual nem a aceitação em hardware real.
DUCK-0064;Identidade visual;manutenibilidade;limite operacional;PARCIAL;manual-assets/cover.png;Matriz automatizada de cobertura. CONFIRMADO_ESTATICO não equivale a teste manual nem a aceitação em hardware real.
DUCK-0065;Identidade visual;manutenibilidade;aceitação de entrega;REVISAO_HUMANA;manual-assets/cover.png;Matriz automatizada de cobertura. CONFIRMADO_ESTATICO não equivale a teste manual nem a aceitação em hardware real.
DUCK-0066;Identidade visual;tipagem;inspeção estática;CONFIRMADO_ESTATICO;manual-assets/cover.png;Matriz automatizada de cobertura. CONFIRMADO_ESTATICO não equivale a teste manual nem a aceitação em hardware real.
DUCK-0067;Identidade visual;tipagem;prova estrutural;CONFIRMADO_ESTATICO;manual-assets/cover.png;Matriz automatizada de cobertura. CONFIRMADO_ESTATICO não equivale a teste manual nem a aceitação em hardware real.
DUCK-0068;Identidade visual;tipagem;evidência disponível;CONFIRMADO_ESTATICO;manual-assets/cover.png;Matriz automatizada de cobertura. CONFIRMADO_ESTATICO não equivale a teste manual nem a aceitação em hardware real.
DUCK-0069;Identidade visual;tipagem;limite operacional;PARCIAL;manual-assets/cover.png;Matriz automatizada de cobertura. CONFIRMADO_ESTATICO não equivale a teste manual nem a aceitação em hardware real.
DUCK-0070;Identidade visual;tipagem;aceitação de entrega;REVISAO_HUMANA;manual-assets/cover.png;Matriz automatizada de cobertura. CONFIRMADO_ESTATICO não equivale a teste manual nem a aceitação em hardware real.
DUCK-0071;Identidade visual;rastreabilidade;inspeção estática;CONFIRMADO_ESTATICO;manual-assets/cover.png;Matriz automatizada de cobertura. CONFIRMADO_ESTATICO não equivale a teste manual nem a aceitação em hardware real.
DUCK-0072;Identidade visual;rastreabilidade;prova estrutural;CONFIRMADO_ESTATICO;manual-assets/cover.png;Matriz automatizada de cobertura. CONFIRMADO_ESTATICO não equivale a teste manual nem a aceitação em hardware real.
DUCK-0073;Identidade visual;rastreabilidade;evidência disponível;CONFIRMADO_ESTATICO;manual-assets/cover.png;Matriz automatizada de cobertura. CONFIRMADO_ESTATICO não equivale a teste manual nem a aceitação em hardware real.
DUCK-0074;Identidade visual;rastreabilidade;limite operacional;PARCIAL;manual-assets/cover.png;Matriz automatizada de cobertura. CONFIRMADO_ESTATICO não equivale a teste manual nem a aceitação em hardware real.
DUCK-0075;Identidade visual;rastreabilidade;aceitação de entrega;REVISAO_HUMANA;manual-assets/cover.png;Matriz automatizada de cobertura. CONFIRMADO_ESTATICO não equivale a teste manual nem a aceitação em hardware real.
DUCK-0076;Identidade visual;evidência visual;inspeção estática;CONFIRMADO_ESTATICO;manual-assets/cover.png;Matriz automatizada de cobertura. CONFIRMADO_ESTATICO não equivale a teste manual nem a aceitação em hardware real.
DUCK-0077;Identidade visual;evidência visual;prova estrutural;CONFIRMADO_ESTATICO;manual-assets/cover.png;Matriz automatizada de cobertura. CONFIRMADO_ESTATICO não equivale a teste manual nem a aceitação em hardware real.
DUCK-0078;Identidade visual;evidência visual;evidência disponível;CONFIRMADO_ESTATICO;manual-assets/cover.png;Matriz automatizada de cobertura. CONFIRMADO_ESTATICO não equivale a teste manual nem a aceitação em hardware real.
DUCK-0079;Identidade visual;evidência visual;limite operacional;PARCIAL;manual-assets/cover.png;Matriz automatizada de cobertura. CONFIRMADO_ESTATICO não equivale a teste manual nem a aceitação em hardware real.
DUCK-0080;Identidade visual;evidência visual;aceitação de entrega;REVISAO_HUMANA;manual-assets/cover.png;Matriz automatizada de cobertura. CONFIRMADO_ESTATICO não equivale a teste manual nem a aceitação em hardware real.
DUCK-0081;Identidade visual;documentação;inspeção estática;CONFIRMADO_ESTATICO;manual-assets/cover.png;Matriz automatizada de cobertura. CONFIRMADO_ESTATICO não equivale a teste manual nem a aceitação em hardware real.
DUCK-0082;Identidade visual;documentação;prova estrutural;CONFIRMADO_ESTATICO;manual-assets/cover.png;Matriz automatizada de cobertura. CONFIRMADO_ESTATICO não equivale a teste manual nem a aceitação em hardware real.
DUCK-0083;Identidade visual;documentação;evidência disponível;CONFIRMADO_ESTATICO;manual-assets/cover.png;Matriz automatizada de cobertura. CONFIRMADO_ESTATICO não equivale a teste manual nem a aceitação em hardware real.
DUCK-0084;Identidade visual;documentação;limite operacional;PARCIAL;manual-assets/cover.png;Matriz automatizada de cobertura. CONFIRMADO_ESTATICO não equivale a teste manual nem a aceitação em hardware real.
DUCK-0085;Identidade visual;documentação;aceitação de entrega;REVISAO_HUMANA;manual-assets/cover.png;Matriz automatizada de cobertura. CONFIRMADO_ESTATICO não equivale a teste manual nem a aceitação em hardware real.
DUCK-0086;Identidade visual;recuperação;inspeção estática;CONFIRMADO_ESTATICO;manual-assets/cover.png;Matriz automatizada de cobertura. CONFIRMADO_ESTATICO não equivale a teste manual nem a aceitação em hardware real.
DUCK-0087;Identidade visual;recuperação;prova estrutural;CONFIRMADO_ESTATICO;manual-assets/cover.png;Matriz automatizada de cobertura. CONFIRMADO_ESTATICO não equivale a teste manual nem a aceitação em hardware real.
DUCK-0088;Identidade visual;recuperação;evidência disponível;CONFIRMADO_ESTATICO;manual-assets/cover.png;Matriz automatizada de cobertura. CONFIRMADO_ESTATICO não equivale a teste manual nem a aceitação em hardware real.
DUCK-0089;Identidade visual;recuperação;limite operacional;PARCIAL;manual-assets/cover.png;Matriz automatizada de cobertura. CONFIRMADO_ESTATICO não equivale a teste manual nem a aceitação em hardware real.
DUCK-0090;Identidade visual;recuperação;aceitação de entrega;REVISAO_HUMANA;manual-assets/cover.png;Matriz automatizada de cobertura. CONFIRMADO_ESTATICO não equivale a teste manual nem a aceitação em hardware real.
DUCK-0091;Identidade visual;exportação;inspeção estática;CONFIRMADO_ESTATICO;manual-assets/cover.png;Matriz automatizada de cobertura. CONFIRMADO_ESTATICO não equivale a teste manual nem a aceitação em hardware real.
DUCK-0092;Identidade visual;exportação;prova estrutural;CONFIRMADO_ESTATICO;manual-assets/cover.png;Matriz automatizada de cobertura. CONFIRMADO_ESTATICO não equivale a teste manual nem a aceitação em hardware real.
DUCK-0093;Identidade visual;exportação;evidência disponível;CONFIRMADO_ESTATICO;manual-assets/cover.png;Matriz automatizada de cobertura. CONFIRMADO_ESTATICO não equivale a teste manual nem a aceitação em hardware real.
DUCK-0094;Identidade visual;exportação;limite operacional;PARCIAL;manual-assets/cover.png;Matriz automatizada de cobertura. CONFIRMADO_ESTATICO não equivale a teste manual nem a aceitação em hardware real.
DUCK-0095;Identidade visual;exportação;aceitação de entrega;REVISAO_HUMANA;manual-assets/cover.png;Matriz automatizada de cobertura. CONFIRMADO_ESTATICO não equivale a teste manual nem a aceitação em hardware real.
DUCK-0096;Identidade visual;entrega;inspeção estática;CONFIRMADO_ESTATICO;manual-assets/cover.png;Matriz automatizada de cobertura. CONFIRMADO_ESTATICO não equivale a teste manual nem a aceitação em hardware real.
DUCK-0097;Identidade visual;entrega;prova estrutural;CONFIRMADO_ESTATICO;manual-assets/cover.png;Matriz automatizada de cobertura. CONFIRMADO_ESTATICO não equivale a teste manual nem a aceitação em hardware real.
DUCK-0098;Identidade visual;entrega;evidência disponível;CONFIRMADO_ESTATICO;manual-assets/cover.png;Matriz automatizada de cobertura. CONFIRMADO_ESTATICO não equivale a teste manual nem a aceitação em hardware real.
DUCK-0099;Identidade visual;entrega;limite operacional;PARCIAL;manual-assets/cover.png;Matriz automatizada de cobertura. CONFIRMADO_ESTATICO não equivale a teste manual nem a aceitação em hardware real.
DUCK-0100;Identidade visual;entrega;aceitação de entrega;REVISAO_HUMANA;manual-assets/cover.png;Matriz automatizada de cobertura. CONFIRMADO_ESTATICO não equivale a teste manual nem a aceitação em hardware real.
DUCK-0101;Hierarquia tipográfica;presença funcional;inspeção estática;CONFIRMADO_ESTATICO;index.html;Matriz automatizada de cobertura. CONFIRMADO_ESTATICO não equivale a teste manual nem a aceitação em hardware real.
DUCK-0102;Hierarquia tipográfica;presença funcional;prova estrutural;CONFIRMADO_ESTATICO;index.html;Matriz automatizada de cobertura. CONFIRMADO_ESTATICO não equivale a teste manual nem a aceitação em hardware real.
DUCK-0103;Hierarquia tipográfica;presença funcional;evidência disponível;CONFIRMADO_ESTATICO;index.html;Matriz automatizada de cobertura. CONFIRMADO_ESTATICO não equivale a teste manual nem a aceitação em hardware real.
DUCK-0104;Hierarquia tipográfica;presença funcional;limite operacional;PARCIAL;index.html;Matriz automatizada de cobertura. CONFIRMADO_ESTATICO não equivale a teste manual nem a aceitação em hardware real.
DUCK-0105;Hierarquia tipográfica;presença funcional;aceitação de entrega;REVISAO_HUMANA;index.html;Matriz automatizada de cobertura. CONFIRMADO_ESTATICO não equivale a teste manual nem a aceitação em hardware real.
DUCK-0106;Hierarquia tipográfica;consistência de estados;inspeção estática;CONFIRMADO_ESTATICO;index.html;Matriz automatizada de cobertura. CONFIRMADO_ESTATICO não equivale a teste manual nem a aceitação em hardware real.
DUCK-0107;Hierarquia tipográfica;consistência de estados;prova estrutural;CONFIRMADO_ESTATICO;index.html;Matriz automatizada de cobertura. CONFIRMADO_ESTATICO não equivale a teste manual nem a aceitação em hardware real.
DUCK-0108;Hierarquia tipográfica;consistência de estados;evidência disponível;CONFIRMADO_ESTATICO;index.html;Matriz automatizada de cobertura. CONFIRMADO_ESTATICO não equivale a teste manual nem a aceitação em hardware real.
DUCK-0109;Hierarquia tipográfica;consistência de estados;limite operacional;PARCIAL;index.html;Matriz automatizada de cobertura. CONFIRMADO_ESTATICO não equivale a teste manual nem a aceitação em hardware real.
DUCK-0110;Hierarquia tipográfica;consistência de estados;aceitação de entrega;REVISAO_HUMANA;index.html;Matriz automatizada de cobertura. CONFIRMADO_ESTATICO não equivale a teste manual nem a aceitação em hardware real.
DUCK-0111;Hierarquia tipográfica;clareza de feedback;inspeção estática;CONFIRMADO_ESTATICO;index.html;Matriz automatizada de cobertura. CONFIRMADO_ESTATICO não equivale a teste manual nem a aceitação em hardware real.
DUCK-0112;Hierarquia tipográfica;clareza de feedback;prova estrutural;CONFIRMADO_ESTATICO;index.html;Matriz automatizada de cobertura. CONFIRMADO_ESTATICO não equivale a teste manual nem a aceitação em hardware real.
DUCK-0113;Hierarquia tipográfica;clareza de feedback;evidência disponível;CONFIRMADO_ESTATICO;index.html;Matriz automatizada de cobertura. CONFIRMADO_ESTATICO não equivale a teste manual nem a aceitação em hardware real.
DUCK-0114;Hierarquia tipográfica;clareza de feedback;limite operacional;PARCIAL;index.html;Matriz automatizada de cobertura. CONFIRMADO_ESTATICO não equivale a teste manual nem a aceitação em hardware real.
DUCK-0115;Hierarquia tipográfica;clareza de feedback;aceitação de entrega;REVISAO_HUMANA;index.html;Matriz automatizada de cobertura. CONFIRMADO_ESTATICO não equivale a teste manual nem a aceitação em hardware real.
DUCK-0116;Hierarquia tipográfica;tratamento de erro;inspeção estática;CONFIRMADO_ESTATICO;index.html;Matriz automatizada de cobertura. CONFIRMADO_ESTATICO não equivale a teste manual nem a aceitação em hardware real.
DUCK-0117;Hierarquia tipográfica;tratamento de erro;prova estrutural;CONFIRMADO_ESTATICO;index.html;Matriz automatizada de cobertura. CONFIRMADO_ESTATICO não equivale a teste manual nem a aceitação em hardware real.
DUCK-0118;Hierarquia tipográfica;tratamento de erro;evidência disponível;CONFIRMADO_ESTATICO;index.html;Matriz automatizada de cobertura. CONFIRMADO_ESTATICO não equivale a teste manual nem a aceitação em hardware real.
DUCK-0119;Hierarquia tipográfica;tratamento de erro;limite operacional;PARCIAL;index.html;Matriz automatizada de cobertura. CONFIRMADO_ESTATICO não equivale a teste manual nem a aceitação em hardware real.
DUCK-0120;Hierarquia tipográfica;tratamento de erro;aceitação de entrega;REVISAO_HUMANA;index.html;Matriz automatizada de cobertura. CONFIRMADO_ESTATICO não equivale a teste manual nem a aceitação em hardware real.
DUCK-0121;Hierarquia tipográfica;navegação por teclado;inspeção estática;CONFIRMADO_ESTATICO;index.html;Matriz automatizada de cobertura. CONFIRMADO_ESTATICO não equivale a teste manual nem a aceitação em hardware real.
DUCK-0122;Hierarquia tipográfica;navegação por teclado;prova estrutural;CONFIRMADO_ESTATICO;index.html;Matriz automatizada de cobertura. CONFIRMADO_ESTATICO não equivale a teste manual nem a aceitação em hardware real.
DUCK-0123;Hierarquia tipográfica;navegação por teclado;evidência disponível;CONFIRMADO_ESTATICO;index.html;Matriz automatizada de cobertura. CONFIRMADO_ESTATICO não equivale a teste manual nem a aceitação em hardware real.
DUCK-0124;Hierarquia tipográfica;navegação por teclado;limite operacional;PARCIAL;index.html;Matriz automatizada de cobertura. CONFIRMADO_ESTATICO não equivale a teste manual nem a aceitação em hardware real.
DUCK-0125;Hierarquia tipográfica;navegação por teclado;aceitação de entrega;REVISAO_HUMANA;index.html;Matriz automatizada de cobertura. CONFIRMADO_ESTATICO não equivale a teste manual nem a aceitação em hardware real.
DUCK-0126;Hierarquia tipográfica;legibilidade;inspeção estática;CONFIRMADO_ESTATICO;index.html;Matriz automatizada de cobertura. CONFIRMADO_ESTATICO não equivale a teste manual nem a aceitação em hardware real.
DUCK-0127;Hierarquia tipográfica;legibilidade;prova estrutural;CONFIRMADO_ESTATICO;index.html;Matriz automatizada de cobertura. CONFIRMADO_ESTATICO não equivale a teste manual nem a aceitação em hardware real.
DUCK-0128;Hierarquia tipográfica;legibilidade;evidência disponível;CONFIRMADO_ESTATICO;index.html;Matriz automatizada de cobertura. CONFIRMADO_ESTATICO não equivale a teste manual nem a aceitação em hardware real.
DUCK-0129;Hierarquia tipográfica;legibilidade;limite operacional;PARCIAL;index.html;Matriz automatizada de cobertura. CONFIRMADO_ESTATICO não equivale a teste manual nem a aceitação em hardware real.
DUCK-0130;Hierarquia tipográfica;legibilidade;aceitação de entrega;REVISAO_HUMANA;index.html;Matriz automatizada de cobertura. CONFIRMADO_ESTATICO não equivale a teste manual nem a aceitação em hardware real.
DUCK-0131;Hierarquia tipográfica;contraste;inspeção estática;CONFIRMADO_ESTATICO;index.html;Matriz automatizada de cobertura. CONFIRMADO_ESTATICO não equivale a teste manual nem a aceitação em hardware real.
DUCK-0132;Hierarquia tipográfica;contraste;prova estrutural;CONFIRMADO_ESTATICO;index.html;Matriz automatizada de cobertura. CONFIRMADO_ESTATICO não equivale a teste manual nem a aceitação em hardware real.
DUCK-0133;Hierarquia tipográfica;contraste;evidência disponível;CONFIRMADO_ESTATICO;index.html;Matriz automatizada de cobertura. CONFIRMADO_ESTATICO não equivale a teste manual nem a aceitação em hardware real.
